"","programyear","State.Abbreviation","sum"
"727",2019,"RI",344856.26
"728",2019,"SC",4580484
"729",2019,"SD",1692701
"730",2019,"TN",803826
"731",2019,"TX",6861283.61
"732",2019,"UT",78594
"733",2019,"VA",2369396.91
"734",2019,"VT",12352
"735",2019,"WA",2023436
"736",2019,"WI",2924592
"737",2019,"WV",235815
"738",2019,"WY",56703.27
"739",2019,NA,212998
"740",2020,"AK",1240
"741",2020,"AL",92899
"742",2020,"AP",1294
"743",2020,"AR",7152097.73
"744",2020,"AZ",1309937.64
"745",2020,"CA",4267520.24
"746",2020,"CO",16747666.33
"747",2020,"CT",85903.25
"748",2020,"FL",2686926.59
"749",2020,"GA",1054891
"750",2020,"HI",520410
"751",2020,"IA",960664
"752",2020,"ID",195744
"753",2020,"IL",462040
"754",2020,"IN",350670
"755",2020,"KS",1275498.99
"756",2020,"KY",411720
"757",2020,"LA",69157
"758",2020,"MA",339711
"759",2020,"MD",85478
"760",2020,"ME",77405
"761",2020,"MI",1404674
"762",2020,"MN",131750
"763",2020,"MO",2053856.12
"764",2020,"MS",397549.91
"765",2020,"MT",4652064
"766",2020,"NC",8762025.3
"767",2020,"ND",755220
"768",2020,"NE",2160742.1
"769",2020,"NH",99807.15
"770",2020,"NJ",1525148
"771",2020,"NM",31925133.35
"772",2020,"NV",732402
"773",2020,"NY",1659960
"774",2020,"OH",1321322
"775",2020,"OK",14572732
"776",2020,"OR",1786551.42
"777",2020,"PA",461574
"778",2020,"PR",90549
"779",2020,"RI",147460
"780",2020,"SC",2092404.42
"781",2020,"SD",6382503
"782",2020,"TN",319966
"783",2020,"TX",25901812.43
"784",2020,"UT",4564717.9
"785",2020,"VA",4594966.5
"786",2020,"VT",80046
"787",2020,"WA",895127
"788",2020,"WI",1868679
"789",2020,"WV",98165
"790",2020,"WY",12051405
"791",2021,"AK",14837
"792",2021,"AL",144524
"793",2021,"AP",1246
"794",2021,"AR",2598522
"795",2021,"AZ",411039.53
"796",2021,"CA",16190793.49
"797",2021,"CO",10321159.12
"798",2021,"CT",875405
"799",2021,"DE",402756
"800",2021,"FL",2982058.77
"801",2021,"GA",2633654.25
"802",2021,"GU",13073
"803",2021,"HI",1052641
"804",2021,"IA",768762
"805",2021,"ID",2992836.57
"806",2021,"IL",223551
"807",2021,"IN",1179345
"808",2021,"KS",168442.42
"809",2021,"KY",285909
"810",2021,"LA",126433
"811",2021,"MA",766373
"812",2021,"MD",11693
"813",2021,"ME",13591
"814",2021,"MI",1633609
"815",2021,"MN",286642
"816",2021,"MO",419605
"817",2021,"MS",2230308
"818",2021,"MT",29398632.47
"819",2021,"NC",6627108.21
"820",2021,"ND",11649159.86
"821",2021,"NE",1685408.92
"822",2021,"NH",383681
"823",2021,"NJ",1472392
"824",2021,"NM",7035562
"825",2021,"NV",1416140.25
"826",2021,"NY",2888724
"827",2021,"OH",900379
"828",2021,"OK",6268625.09
"829",2021,"OR",5996183
"830",2021,"PA",605866
"831",2021,"RI",352990
"832",2021,"SC",1229309
"833",2021,"SD",45893409
"834",2021,"TN",668029
"835",2021,"TX",9389737.97
"836",2021,"UT",5999354.2
"837",2021,"VA",7960045
"838",2021,"VT",216203
"839",2021,"WA",1884642
"840",2021,"WI",1890497
"841",2021,"WV",46304
"842",2021,"WY",16825114.99
"843",2022,"AK",13862
"844",2022,"AL",170845
"845",2022,"AP",1070
"846",2022,"AR",30398993.34
"847",2022,"AZ",83895
"848",2022,"CA",12529973.75
"849",2022,"CO",8433021.28
"850",2022,"CT",200257
"851",2022,"FL",6676356
"852",2022,"GA",3489702.9
"853",2022,"GU",7403
"854",2022,"HI",1682719
"855",2022,"IA",938520
